petName,enemyId,templateId,initNum,lvupPointSource,lvupPointEffective,baseVital,baseStr,baseTough,baseDex,get,poisonResist,paralysisResist,sleepResist,stoneResist,drunkResist,confusionResist,critical,counter,rare,lvMin,lvMax,enemyExp,hpMin,hpMax,attackMin,attackMax,defenseMin,defenseMax,agilityMin,agilityMax,rawVitalMin,rawVitalMax,rawStrMin,rawStrMax,rawToughMin,rawToughMax,rawDexMin,rawDexMax,growVitalMin,growVitalMax,growStrMin,growStrMax,growToughMin,growToughMax,growDexMin,growDexMax,rank,baseSum,earth,water,fire,wind,skill1,skill2,skill3,skill4,skill5,skill6,skill7,limitLevel,imageId
雷诛,1905,953,22,4.5,4,44,21,16,13,5,0,0,0,0,0,0,2,0,0,79,79,0,741,935,85,134,70,119,36,83,14028,18704,6346,11022,4676,9352,3674,8350,205,302,93,178,68,151,53,135,2,94,70,30,0,0,1,2,110,-1,-1,-1,-1,79,101281
艾蜜,1911,961,25,4.5,4,23,23,24,28,-1,0,0,0,0,0,0,0,5,0,79,79,0,549,744,91,140,94,143,87,134,7077,11795,7077,11795,7414,12132,8762,13480,98,182,98,182,103,187,122,208,1,98,0,0,30,70,1,2,90,-1,-1,-1,-1,79,101280
讦谯龙,1912,962,24,4.5,4,24,30,24,26,1,20,0,0,0,0,0,1,5,0,79,79,0,577,772,114,163,96,145,80,127,7392,12096,9408,14112,7392,12096,8064,12768,99,180,126,210,99,180,108,190,0,104,50,50,0,0,1,2,60,-1,-1,-1,-1,79,101279
莱比,1929,966,21,4.5,4,32,27,20,26,11,0,0,0,0,0,0,1,1,0,50,50,0,427,553,68,99,54,86,52,82,6510,9548,5425,8463,3906,6944,5208,8246,135,220,112,195,81,160,108,190,0,105,0,80,20,0,1,2,-1,-1,-1,-1,-1,60,100821
蒙奇,1947,969,23,4.5,4,26,33,18,29,-5,0,0,0,0,0,0,1,1,2,1,1,0,41,54,8,11,5,8,6,9,552,874,713,1035,368,690,621,943,108,190,139,225,72,150,121,205,0,106,0,0,30,70,1,2,580,-1,-1,-1,-1,-1,101412
森林乌力,2353,97,10,4.5,4,20,12,15,25,11,0,0,0,0,0,0,1,1,0,1,1,0,12,18,1,2,1,3,2,3,180,320,100,240,130,270,230,370,99,192,55,144,71,162,126,222,5,72,80,20,0,0,1,-1,-1,-1,-1,-1,-1,-1,100250
美拉,2474,1140,35,4.5,4,20,38,53,24,7,0,0,0,0,0,0,0,0,0,1,1,0,66,87,15,20,20,25,7,12,630,1120,1260,1750,1785,2275,770,1260,81,160,162,250,229,325,99,180,0,135,100,0,0,0,1,2,-1,-1,-1,-1,-1,-1,101760
奇朋菲德,2486,165,33,4.5,4,27,41,29,28,0,0,0,-40,40,0,0,1,1,2,1,1,0,66,85,15,19,11,16,8,13,825,1287,1287,1749,891,1353,858,1320,112,195,175,265,121,205,117,200,0,125,80,20,0,0,1,2,583,-1,-1,-1,-1,-1,101762
奇朋亚斯,2487,166,33,4.5,4,31,45,23,26,0,0,0,0,-40,0,0,1,1,2,1,1,0,70,89,16,21,9,14,7,12,957,1419,1419,1881,693,1155,792,1254,130,215,193,285,94,175,108,190,0,125,0,80,20,0,1,2,583,-1,-1,-1,-1,-1,101763
奇朋德美,2488,167,33,4.5,4,24,48,22,31,0,0,0,0,0,-40,40,1,1,2,1,1,0,63,82,17,21,9,14,9,14,726,1188,1518,1980,660,1122,957,1419,99,180,207,300,90,170,130,215,0,125,0,0,80,20,1,2,583,-1,-1,-1,-1,-1,101764
奇朋洛依,2489,168,33,4.5,4,23,41,25,36,0,0,40,0,0,0,0,1,1,2,1,1,0,62,81,15,19,10,15,11,15,693,1155,1287,1749,759,1221,1122,1584,94,175,175,265,103,185,153,240,0,125,20,0,0,80,1,2,583,-1,-1,-1,-1,-1,101765
佩露夏,2663,1273,38,4.5,4,24,42,18,46,-5,10,10,10,10,10,10,3,3,2,1,1,0,75,97,17,23,9,14,16,22,836,1368,1520,2052,608,1140,1672,2204,99,180,180,270,72,150,198,290,0,130,0,100,0,0,1,2,659,668,-1,-1,-1,-1,100872
美拉,2664,1274,38,4.5,4,29,42,54,10,7,10,10,10,10,10,10,3,3,2,1,1,0,82,104,18,24,22,28,3,8,1026,1558,1520,2052,1976,2508,304,836,121,205,180,270,234,330,36,110,0,135,100,0,0,0,1,2,658,670,21,-1,-1,-1,101760
凯恩,2665,1275,38,4.5,4,25,44,22,40,-5,10,10,10,10,10,10,3,3,2,1,1,0,76,98,18,24,10,16,14,19,874,1406,1596,2128,760,1292,1444,1976,103,185,189,280,90,170,171,260,0,131,0,0,0,100,1,2,508,667,-1,-1,-1,-1,101180
菲奇亚,2666,1276,38,4.5,4,27,49,20,37,3,10,10,10,10,10,10,3,3,2,1,1,0,79,101,20,25,10,15,13,18,950,1482,1786,2318,684,1216,1330,1862,112,195,211,305,81,160,157,245,0,133,0,0,100,0,1,2,671,669,-1,-1,-1,-1,101616
菲奇斯,21060,21060,38,4.5,4,30,49,20,37,3,10,10,10,10,10,10,3,3,2,1,1,0,84,106,20,25,10,16,13,18,1064,1596,1786,2318,684,1216,1330,1862,126,210,211,305,81,160,157,245,0,136,0,0,100,0,1,2,671,1039,-1,-1,-1,-1,101413
乌力乌力,1,2,20,4.5,4,22,23,11,23,11,0,0,0,0,0,0,1,1,0,1,1,-1,28,39,5,7,2,5,4,7,400,680,420,700,180,460,420,700,110,204,115,210,49,138,115,210,5,79,0,40,60,0,1,2,-1,-1,-1,-1,-1,-1,100251
凯比,2,112,20,4.5,4,14,19,19,27,11,0,0,0,0,0,0,2,0,0,1,1,-1,23,35,4,7,4,7,5,7,240,520,340,620,340,620,500,780,66,156,93,186,93,186,137,234,5,79,20,0,0,80,1,2,-1,-1,-1,-1,-1,-1,100296
克克尔,3,102,20,4.5,4,20,18,17,24,11,0,0,0,0,0,0,0,1,0,1,1,-1,27,38,4,7,3,6,4,7,360,640,320,600,300,580,440,720,99,192,88,180,82,174,121,216,5,79,0,70,30,0,1,2,-1,-1,-1,-1,-1,-1,100292
威伯,4,34,20,4.5,4,17,18,15,29,11,0,0,0,0,0,0,0,1,0,1,1,-1,25,36,4,7,3,6,5,8,300,580,320,600,260,540,540,820,82,174,88,180,71,162,148,246,5,79,60,0,0,40,1,2,-1,-1,-1,-1,-1,-1,100266
乌力,9,1,10,4.5,4,20,12,15,25,11,0,0,0,0,0,0,1,1,0,1,1,-1,12,18,1,2,1,3,2,3,180,320,100,240,130,270,230,370,99,192,55,144,71,162,126,222,5,72,80,20,0,0,1,-1,-1,-1,-1,-1,-1,-1,100250
乌力乌力,10,2,20,4.5,4,22,23,11,23,11,0,0,0,0,0,0,1,1,0,1,1,-1,28,39,5,7,2,5,4,7,400,680,420,700,180,460,420,700,110,204,115,210,49,138,115,210,5,79,0,40,60,0,1,2,-1,-1,-1,-1,-1,-1,100251
乌力斯坦,11,3,15,4.5,4,22,17,19,17,11,0,0,0,0,0,0,1,1,0,1,1,-1,20,29,2,5,3,5,2,4,300,510,225,435,255,465,225,435,110,204,82,174,93,186,82,174,5,75,100,0,0,0,1,20,-1,-1,-1,-1,-1,-1,100252
乌力布鲁,12,4,10,4.5,4,25,23,19,33,-1,0,0,0,0,0,0,10,10,1,1,1,-1,17,22,2,4,2,3,3,4,230,370,210,350,170,310,310,450,103,185,94,175,76,155,139,225,0,100,0,0,70,30,1,150,11,-1,-1,-1,-1,-1,100253
布比,13,11,15,4.5,4,42,20,16,12,5,0,0,0,0,0,0,2,0,0,1,1,-1,31,40,3,5,3,5,1,3,600,810,270,480,210,420,150,360,196,291,88,172,68,151,49,129,2,90,80,20,0,0,1,-1,-1,-1,-1,-1,-1,-1,100254
金布伊,14,12,25,4.5,4,31,20,32,12,-1,0,0,0,0,0,0,10,10,1,1,1,-1,46,60,6,9,8,12,2,6,725,1075,450,800,750,1100,250,600,136,223,84,166,141,228,47,124,1,95,0,0,30,70,1,2,3,40,-1,-1,-1,-1,100255
布伊,15,13,22,4.5,4,44,21,16,13,5,0,0,0,0,0,0,2,0,0,1,1,-1,48,61,5,8,4,7,2,5,924,1232,418,726,308,616,242,550,205,302,93,178,68,151,53,135,2,94,60,40,0,0,1,-1,-1,-1,-1,-1,-1,-1,100256
布伊比,16,14,16,4.5,4,32,26,15,18,5,0,0,0,0,0,0,2,0,0,1,1,-1,29,38,4,7,3,5,2,4,480,704,384,608,208,432,256,480,147,237,117,205,63,145,78,162,2,91,0,40,60,0,1,3,-1,-1,-1,-1,-1,-1,100257
卡布伊,17,15,23,4.5,4,30,28,14,20,5,0,0,0,0,0,0,2,0,1,1,1,-1,40,54,7,10,4,7,4,7,644,966,598,920,276,598,414,736,137,226,127,216,58,140,88,172,2,92,100,0,0,0,1,3,-1,-1,-1,-1,-1,-1,100258
加美,21,21,22,4.5,4,22,23,19,23,7,0,0,0,0,0,0,0,1,0,1,1,-1,32,45,5,8,4,8,4,7,440,748,462,770,374,682,462,770,102,190,107,196,86,173,107,196,3,87,0,0,60,40,1,2,-1,-1,-1,-1,-1,-1,100259
加比,25,22,20,4.5,4,21,22,18,28,7,20,0,0,0,0,0,0,1,0,1,1,-1,29,41,5,7,4,7,5,8,380,660,400,680,320,600,520,800,96,184,102,190,81,168,132,224,3,89,50,0,0,50,1,60,-1,-1,-1,-1,-1,-1,100260
加比奥,26,23,18,4.5,4,22,22,18,28,5,0,0,0,0,0,0,0,1,0,1,1,-1,27,37,4,7,3,6,4,7,360,612,360,612,288,540,468,720,98,183,98,183,78,162,127,216,2,90,0,0,0,100,1,2,-1,-1,-1,-1,-1,-1,100261
加斯,27,24,16,4.5,4,21,22,18,25,5,0,0,0,0,0,20,0,1,0,1,1,-1,23,32,4,6,3,5,3,5,304,528,320,544,256,480,368,592,96,184,102,190,81,168,117,207,3,86,0,0,30,70,1,90,-1,-1,-1,-1,-1,-1,100262
乌宝宝,28,31,13,4.5,4,17,20,10,32,11,0,0,0,0,0,0,0,1,0,1,1,-1,16,23,2,4,1,3,3,5,195,377,234,416,104,286,390,572,82,174,99,192,44,132,165,264,5,79,30,0,0,70,1,2,-1,-1,-1,-1,-1,-1,100263
威威,29,32,15,4.5,4,18,21,7,33,11,0,0,0,0,0,0,0,1,0,1,1,-1,19,28,3,5,1,3,4,6,240,450,285,495,75,285,465,675,88,180,104,198,27,114,170,270,5,79,0,0,60,40,1,2,-1,-1,-1,-1,-1,-1,100264
乌卡鲁,30,33,17,4.5,4,23,19,11,26,11,0,0,0,0,0,0,0,1,0,1,1,-1,24,34,3,6,2,4,4,6,357,595,289,527,153,391,408,646,115,210,93,186,49,138,132,228,5,79,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100265
威伯,31,34,20,4.5,4,17,18,15,29,11,0,0,0,0,0,0,0,1,0,1,1,-1,25,36,4,7,3,6,5,8,300,580,320,600,260,540,540,820,82,174,88,180,71,162,148,246,5,79,60,0,0,40,1,2,-1,-1,-1,-1,-1,-1,100266
贝洛恩,32,41,24,4.5,4,30,12,30,15,7,0,0,0,0,0,0,0,0,0,1,1,-1,41,55,4,7,7,11,3,6,672,1008,240,576,672,1008,312,648,142,235,51,134,142,235,66,151,3,87,0,100,0,0,1,2,-1,-1,-1,-1,-1,-1,100267
贝洛洛克,33,42,19,4.5,4,29,14,32,13,7,60,0,0,-20,0,0,0,0,0,1,1,-1,32,43,3,6,6,9,2,4,513,779,228,494,570,836,209,475,137,229,61,145,153,246,56,140,3,88,70,30,0,0,1,2,60,-1,-1,-1,-1,-1,100268
贝洛宝克尔,34,43,23,4.5,4,30,13,31,14,7,0,0,0,30,0,0,0,0,0,1,1,-1,40,53,4,7,7,11,2,5,644,966,253,575,667,989,276,598,142,235,56,140,147,240,61,145,3,88,30,70,0,0,1,2,80,-1,-1,-1,-1,-1,100269
贝洛宝利,35,44,22,4.5,4,29,16,30,15,5,0,0,0,0,0,30,0,0,0,1,1,-1,38,50,4,7,7,10,2,5,594,902,308,616,616,924,286,594,132,221,68,151,137,226,63,145,2,90,0,30,70,0,1,2,90,-1,-1,-1,-1,-1,100270
龟之盾,36,51,14,4.5,4,20,18,34,9,9,0,0,0,0,0,0,0,0,0,1,1,-1,19,27,3,5,5,7,0,2,252,448,224,420,448,644,98,294,95,185,84,174,169,266,37,121,4,81,30,0,0,70,1,2,-1,-1,-1,-1,-1,-1,100271
绿龟,37,52,14,4.5,4,19,19,35,8,9,0,0,0,0,0,0,0,0,0,1,1,-1,18,26,3,5,5,7,0,2,238,434,238,434,462,658,84,280,90,179,90,179,174,272,31,116,4,81,60,0,0,40,1,2,-1,-1,-1,-1,-1,-1,100272
卡梅兰恩,38,53,12,4.5,4,20,21,33,10,9,0,0,0,0,0,0,0,0,0,1,1,-1,16,23,2,4,4,6,0,2,216,384,228,396,372,540,96,264,95,185,100,191,164,261,42,127,4,84,0,0,80,20,1,2,10,-1,-1,-1,-1,-1,100273
石龟,39,54,20,4.5,4,21,19,41,8,7,0,0,-20,65,0,0,0,0,0,1,1,-1,29,41,4,7,8,11,1,4,380,660,340,620,780,1060,120,400,96,184,86,173,198,296,30,112,3,89,90,0,0,10,1,2,80,-1,-1,-1,-1,-1,100274
阿哥亚,42,61,20,4.5,4,23,22,21,18,9,0,0,0,0,20,0,0,3,0,1,1,-1,29,41,5,7,4,7,3,6,420,700,400,680,380,660,320,600,111,203,106,197,100,191,84,174,4,84,0,30,70,0,100,30,-1,-1,-1,-1,-1,-1,100275
尼可斯,43,62,18,4.5,4,24,20,20,17,9,0,0,0,0,0,0,0,3,0,1,1,-1,26,37,4,6,4,6,2,5,396,648,324,576,324,576,270,522,116,208,95,185,95,185,79,168,4,81,40,60,0,0,1,2,-1,-1,-1,-1,-1,-1,100276
特洛昆,44,63,17,4.5,4,23,21,23,17,9,0,0,0,0,0,0,0,3,0,1,1,-1,25,35,4,6,4,6,2,4,357,595,323,561,357,595,255,493,111,203,100,191,111,203,79,168,4,84,70,0,0,30,1,2,-1,-1,-1,-1,-1,-1,100277
达克尔,45,64,18,4.5,4,24,22,21,18,7,0,0,0,0,0,0,0,3,0,1,1,-1,27,37,4,7,4,7,2,5,396,648,360,612,342,594,288,540,112,201,102,190,96,184,81,168,3,85,0,80,20,0,1,2,-1,-1,-1,-1,-1,-1,100278
拉奇鲁哥,46,71,23,4.5,4,22,26,20,26,5,0,0,0,0,0,0,0,3,0,1,1,-1,35,49,6,10,5,8,5,8,460,782,552,874,414,736,552,874,98,183,117,205,88,172,117,205,2,94,0,0,100,0,1,2,-1,-1,-1,-1,-1,-1,100279
呼拔拔,47,72,24,4.5,4,22,24,19,27,5,0,0,0,0,0,0,0,3,0,1,1,-1,36,50,6,10,5,8,6,9,480,816,528,864,408,744,600,936,98,183,107,194,83,167,122,210,2,92,0,0,60,40,1,2,-1,-1,-1,-1,-1,-1,100280
多萨金格,48,73,19,4.5,4,23,24,23,25,3,0,0,0,0,0,0,0,3,0,1,1,-1,30,41,5,8,5,7,4,7,399,665,418,684,399,665,437,703,98,182,103,187,98,182,108,192,1,95,60,0,0,40,1,2,40,-1,-1,-1,-1,-1,100281
鲁尼帖斯,49,74,22,4.5,4,23,23,25,22,5,0,0,0,0,0,0,0,3,0,1,1,-1,34,47,5,9,6,9,4,7,462,770,462,770,506,814,440,748,102,189,102,189,112,199,98,183,2,93,100,0,0,0,1,2,-1,-1,-1,-1,-1,-1,100282
卡达鲁卡斯,50,81,22,4.5,4,25,23,40,6,5,0,0,0,0,0,0,1,0,0,1,1,-1,36,49,6,9,9,12,0,3,506,814,462,770,836,1144,88,396,112,199,102,189,186,280,19,97,2,94,100,0,0,0,1,2,-1,-1,-1,-1,-1,-1,100283
柯伊达,51,82,22,4.5,4,25,21,39,5,5,0,0,0,0,0,0,1,0,0,1,1,-1,35,48,5,8,9,12,0,3,506,814,418,726,814,1122,66,374,112,199,93,178,181,275,14,91,2,90,80,20,0,0,1,2,-1,-1,-1,-1,-1,-1,100284
柯洛加斯,52,83,17,4.5,4,26,24,37,7,5,0,0,0,0,0,0,0,1,0,1,1,-1,28,38,4,7,6,9,0,3,408,646,374,612,595,833,85,323,117,205,107,194,171,264,24,102,2,94,0,40,60,0,1,2,-1,-1,-1,-1,-1,-1,100285
洛奇安,53,84,23,4.5,4,25,21,38,6,5,0,0,0,0,0,0,0,1,0,1,1,-1,37,50,5,9,9,12,0,4,529,851,437,759,828,1150,92,414,112,199,93,178,176,270,19,97,2,90,80,0,0,20,1,2,-1,-1,-1,-1,-1,-1,100286
利则诺顿,54,91,22,4.5,4,27,37,19,17,1,0,0,0,0,0,0,5,0,0,1,1,-1,38,51,8,12,5,8,3,6,550,858,770,1078,374,682,330,638,112,195,157,245,76,155,67,145,0,100,100,0,0,0,1,2,-1,-1,-1,-1,-1,-1,100287
扬奇洛斯,55,92,29,4.5,4,27,36,16,20,3,0,0,0,0,0,0,5,0,0,1,1,-1,51,67,11,15,6,10,5,9,725,1131,986,1392,406,812,522,928,117,202,159,249,65,145,84,166,1,99,0,30,70,0,1,2,-1,-1,-1,-1,-1,-1,100288
邦浦洛斯,56,93,27,4.5,4,25,37,15,21,3,0,0,0,0,0,0,5,0,0,1,1,-1,45,61,10,14,5,9,5,8,621,999,945,1323,351,729,513,891,108,192,164,254,61,140,89,171,1,98,0,0,50,50,1,2,-1,-1,-1,-1,-1,-1,100289
邦奇诺,57,94,26,4.5,4,24,38,16,20,3,0,0,0,0,0,0,5,0,0,1,1,-1,43,58,10,14,5,9,4,8,572,936,936,1300,364,728,468,832,103,187,169,260,65,145,84,166,1,98,0,0,100,0,1,2,-1,-1,-1,-1,-1,-1,100290
克雷尔,58,101,19,4.5,4,19,18,20,22,11,0,0,0,0,0,0,0,1,0,1,1,-1,25,36,3,6,4,7,3,6,323,589,304,570,342,608,380,646,93,186,88,180,99,192,110,204,5,79,60,40,0,0,1,2,-1,-1,-1,-1,-1,-1,100291
克克尔,59,102,20,4.5,4,20,18,17,24,11,0,0,0,0,0,0,0,1,0,1,1,-1,27,38,4,7,3,6,4,7,360,640,320,600,300,580,440,720,99,192,88,180,82,174,121,216,5,79,0,70,30,0,1,2,-1,-1,-1,-1,-1,-1,100292
克洛尔,60,103,18,4.5,4,18,20,18,24,9,0,0,0,0,0,0,0,1,0,1,1,-1,23,33,4,6,3,6,3,6,288,540,324,576,288,540,396,648,84,174,95,185,84,174,116,208,4,80,0,40,60,0,1,2,-1,-1,-1,-1,-1,-1,100293
里斯基,61,104,17,4.5,4,19,16,19,23,11,0,0,0,0,0,0,0,1,0,1,1,-1,22,31,3,5,3,6,3,5,289,527,238,476,289,527,357,595,93,186,77,168,93,186,115,210,5,77,20,80,0,0,1,2,-1,-1,-1,-1,-1,-1,100294
卡比特,62,111,18,4.5,4,14,19,19,27,11,0,0,0,0,0,0,2,0,0,1,1,-1,21,31,3,6,3,6,4,7,216,468,306,558,306,558,450,702,66,156,93,186,93,186,137,234,5,79,0,0,70,30,1,2,-1,-1,-1,-1,-1,-1,100295
凯比,63,112,20,4.5,4,14,19,19,27,11,0,0,0,0,0,0,2,0,0,1,1,-1,23,35,4,7,4,7,5,7,240,520,340,620,340,620,500,780,66,156,93,186,93,186,137,234,5,79,20,0,0,80,1,2,-1,-1,-1,-1,-1,-1,100296
昆伊,64,113,15,4.5,4,13,20,17,25,11,0,0,0,0,0,0,2,0,0,1,1,-1,16,25,3,5,2,5,3,5,165,375,270,480,225,435,345,555,60,150,99,192,82,174,126,222,5,75,0,0,50,50,1,2,-1,-1,-1,-1,-1,-1,100297
凯比特,65,114,19,4.5,4,16,20,16,28,9,0,0,0,0,0,0,2,0,0,1,1,-1,23,34,4,7,3,6,4,7,266,532,342,608,266,532,494,760,74,162,95,185,74,162,137,232,4,80,0,0,0,100,1,2,-1,-1,-1,-1,-1,-1,100298
格尔顿,75,141,28,4.5,4,28,28,26,18,1,0,0,0,0,0,0,5,0,0,1,1,-1,50,66,9,13,8,12,4,8,728,1120,728,1120,672,1064,448,840,117,200,117,200,108,190,72,150,0,100,100,0,0,0,1,2,-1,-1,-1,-1,-1,-1,100307
奇拉顿,76,142,23,4.5,4,28,27,23,19,3,0,0,0,0,0,0,5,0,0,1,1,-1,40,54,7,10,6,9,3,7,598,920,575,897,483,805,391,713,122,208,117,202,98,182,79,161,1,97,80,20,0,0,1,2,-1,-1,-1,-1,-1,-1,100308
齐尔格尔顿,77,143,27,4.5,4,28,29,21,20,3,0,0,0,0,0,0,5,0,0,1,1,-1,48,63,8,12,6,10,4,8,702,1080,729,1107,513,891,486,864,122,208,126,213,89,171,84,166,1,98,0,30,70,0,1,2,-1,-1,-1,-1,-1,-1,100309
格尔格,78,144,27,4.5,4,25,30,20,21,3,0,0,0,0,0,0,5,0,0,1,1,-1,45,60,9,12,6,10,5,8,621,999,756,1134,486,864,513,891,108,192,131,218,84,166,89,171,1,96,0,0,90,10,1,2,-1,-1,-1,-1,-1,-1,100310
修宝,93,171,18,4.5,4,26,28,25,16,-1,0,0,0,0,0,0,0,5,1,1,1,-1,30,40,5,8,5,7,2,5,432,684,468,720,414,666,252,504,112,197,122,208,108,192,65,145,1,95,80,20,0,0,1,2,-1,-1,-1,-1,-1,-1,100319
卡拉宝斯,94,172,19,4.5,4,28,23,26,14,5,0,0,0,0,0,0,0,5,0,1,1,-1,32,43,5,7,5,8,2,4,494,760,399,665,456,722,228,494,127,216,102,189,117,205,58,140,2,91,30,70,0,0,1,2,-1,-1,-1,-1,-1,-1,100320
布克布克,95,173,25,4.5,4,26,26,26,17,-1,0,0,0,0,0,0,0,5,1,1,1,-1,42,56,7,11,7,11,3,7,600,950,600,950,600,950,375,725,112,197,112,197,112,197,70,150,1,95,0,50,50,0,1,2,-1,-1,-1,-1,-1,-1,100321
多洛加,96,174,21,4.5,4,25,26,25,16,5,0,0,0,0,0,20,0,5,0,1,1,-1,34,46,6,9,6,9,2,5,483,777,504,798,483,777,294,588,112,199,117,205,112,199,68,151,2,92,0,30,70,0,1,2,90,-1,-1,-1,-1,-1,100322
昆伊,119,113,15,4.5,4,13,20,17,25,11,0,0,0,0,0,0,2,0,0,1,1,-1,16,25,3,5,2,5,3,5,165,375,270,480,225,435,345,555,60,150,99,192,82,174,126,222,5,75,0,0,50,50,1,2,-1,-1,-1,-1,-1,-1,100297
昆伊,120,113,15,4.5,4,13,20,17,25,11,0,0,0,0,0,0,2,0,0,2,3,-1,20,38,4,8,3,7,4,8,209,575,342,736,285,667,437,851,60,150,99,192,82,174,126,222,5,75,0,0,50,50,1,2,-1,-1,-1,-1,-1,-1,100297
昆伊,121,113,15,4.5,4,13,20,17,25,11,0,0,0,0,0,0,2,0,0,3,5,-1,25,52,5,11,4,10,5,11,253,775,414,992,345,899,529,1147,60,150,99,192,82,174,126,222,5,75,0,0,50,50,1,2,-1,-1,-1,-1,-1,-1,100297
凯比特,122,114,19,4.5,4,16,20,16,28,9,0,0,0,0,0,0,2,0,0,1,1,-1,23,34,4,7,3,6,4,7,266,532,342,608,266,532,494,760,74,162,95,185,74,162,137,232,4,80,0,0,0,100,1,2,-1,-1,-1,-1,-1,-1,100298
凯比特,123,114,19,4.5,4,16,20,16,28,9,0,0,0,0,0,0,2,0,0,2,3,-1,28,49,5,10,4,9,5,10,322,756,414,864,322,756,598,1080,74,162,95,185,74,162,137,232,4,80,0,0,0,100,1,2,-1,-1,-1,-1,-1,-1,100298
凯比特,124,114,19,4.5,4,16,20,16,28,9,0,0,0,0,0,0,2,0,0,3,5,-1,33,63,6,12,5,11,7,14,378,980,486,1120,378,980,702,1400,74,162,95,185,74,162,137,232,4,80,0,0,0,100,1,2,-1,-1,-1,-1,-1,-1,100298
